ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Ref_ID,Street_ID,Xmin,Xmax,Ymin,Ymax,User_fld,Addr_type,Side,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,StAddr,City,County,State,StateAbbr,RegionAbbr,ZIP,Country,LangCode,Distance,DisplayX,DisplayY,StreetID,ARC_SingleLine,Address_Text,Matched,Match_Score,Match_Text,Match_Type_1,Match_Id,MatchXCoordinate,MatchYCoordinate,MatchLatitude,MatchLongitude,Match_Codes,Rp_Address,Rp_City,Rp_Zip_Code,Zip_1,ADDRESS,Project__Project_Name,Project_Unit__Unit_Name,Address1,Unit_Street__,Unit_Street_Name,Unit__,Unit_ZIP,Parcel_Info,Ownership_Units,Subtotal_Restricted_Units__fm_Prjt_,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
11,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,5 Eileen Circle 02130,5 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,5B Eileen Circle #Unit 11,5B Eileen Circle 02130,5B,Eileen Circle,Unit 11,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,7 Eugene Circle 02130,7 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,7B Eugene Circle #Unit 31,7B Eugene Circle 02130,7B,Eugene Circle,Unit 31,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,6 Eileen Circle 02130,6 Eileen Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,6 Eileen Circle #3-13,6 Eileen Circle 02130,6,Eileen Circle,B,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,6 Eugene Circle 02130,6 Eugene Circle 02130,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_IMPROVEMENT",,,,,,Back of the Hill Townhouses,6B Eugene Circle #Unit 29,6B Eugene Circle 02130,6B,Eugene Circle,Unit 29,02130,1001445110,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,6 Victor Street 02125,6 Victor Street 02125,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_EXACT,ADDRESS_NONE,XY_NONE",,,,,,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",6 Victor Street Unit,6 Victor Street 02125,6,Victor Street,#N/A,02125,1300454000,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,96 Liverpool 02128,96 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,96 Liverpool Street,96 Liverpool 02128,96,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,86 Liverpool 02128,86 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,86 Liverpool Street,86 Liverpool 02128,86,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,98 Liverpool 02128,98 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,98 Liverpool Street,98 Liverpool 02128,98,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,90 Liverpool 02128,90 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,90 Liverpool Street,90 Liverpool 02128,90,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,U,0,A,,-1,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,84 Liverpool 02128,84 Liverpool 02128,False,0,,Did Not Match,-1,-1,-1,0,0,"STREET_PARTIAL,ADDRESS_NONE,XY_NONE",,,,,,Coppersmith Village HomeOwnership,84 Liverpool Street,84 Liverpool 02128,84,Liverpool,#N/A,02128,0105566000,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
